issn,product_title_sort,Title,Format,product_id,Imprint,Primary Language,Vols Qty,Scheduled Vol Nos,Single Issues per volume,Open Access,Comment,imprints,issn_type,.id,V1
1861-1125,Acta Geotechnica,Acta Geotechnica,PE OF,11440,Springer,English,1,14,6,Hybrid (Open Choice),NA,Springer,ISSN print,2016,86
1861-1125,Acta Geotechnica,Acta Geotechnica,PE OF,11440,Springer,English,1,14,6,Hybrid (Open Choice),NA,Springer,ISSN print,2015,62
0001-5903,Acta Informatica,Acta Informatica,PE OF,236,Springer,English,1,56,8,Hybrid (Open Choice),NA,Springer,ISSN print,2015,39
0001-5903,Acta Informatica,Acta Informatica,PE OF,236,Springer,English,1,56,8,Hybrid (Open Choice),NA,Springer,ISSN print,2016,37
0001-5903,Acta Informatica,Acta Informatica,PE OF,236,Springer,English,1,56,8,Hybrid (Open Choice),NA,Springer,ISSN print,2017,20
0001-5903,Acta Informatica,Acta Informatica,PE OF,236,Springer,English,1,56,8,Hybrid (Open Choice),NA,Springer,ISSN print,2018,17
0236-5294,Acta Mathematica Hungarica,Acta Mathematica Hungarica,PE OF,10474,"Akadémiai Kiadó, co-published with Springer",English,3,157-159,2,NA,No sales rights in Hungary.,other,ISSN print,2016,107
0236-5294,Acta Mathematica Hungarica,Acta Mathematica Hungarica,PE OF,10474,"Akadémiai Kiadó, co-published with Springer",English,3,157-159,2,NA,No sales rights in Hungary.,other,ISSN print,2015,105
0236-5294,Acta Mathematica Hungarica,Acta Mathematica Hungarica,PE OF,10474,"Akadémiai Kiadó, co-published with Springer",English,3,157-159,2,NA,No sales rights in Hungary.,other,ISSN print,2017,99
0236-5294,Acta Mathematica Hungarica,Acta Mathematica Hungarica,PE OF,10474,"Akadémiai Kiadó, co-published with Springer",English,3,157-159,2,NA,No sales rights in Hungary.,other,ISSN print,2018,91
0252-9602,Acta Mathematica Scientia,Acta Mathematica Scientia,PE,10473,Springer,English,1,39,6,Hybrid (Open Choice),Addendum Journals List: Take-over in 2019. Former publisher: Elsevier.,Springer,ISSN print,2017,126
0252-9602,Acta Mathematica Scientia,Acta Mathematica Scientia,PE,10473,Springer,English,1,39,6,Hybrid (Open Choice),Addendum Journals List: Take-over in 2019. Former publisher: Elsevier.,Springer,ISSN print,2016,126
0252-9602,Acta Mathematica Scientia,Acta Mathematica Scientia,PE,10473,Springer,English,1,39,6,Hybrid (Open Choice),Addendum Journals List: Take-over in 2019. Former publisher: Elsevier.,Springer,ISSN print,2015,112
0252-9602,Acta Mathematica Scientia,Acta Mathematica Scientia,PE,10473,Springer,English,1,39,6,Hybrid (Open Choice),Addendum Journals List: Take-over in 2019. Former publisher: Elsevier.,Springer,ISSN print,2018,100
1439-8516,Acta Mathematica Sinica English Series,"Acta Mathematica Sinica, English Series",PE OF,10114,"Institute of Mathematics, Chinese Academy of Sciences and Chinese Mathematical Society, co-published with Springer",English,1,35,12,NA,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2016,161
1439-8516,Acta Mathematica Sinica English Series,"Acta Mathematica Sinica, English Series",PE OF,10114,"Institute of Mathematics, Chinese Academy of Sciences and Chinese Mathematical Society, co-published with Springer",English,1,35,12,NA,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2015,138
1439-8516,Acta Mathematica Sinica English Series,"Acta Mathematica Sinica, English Series",PE OF,10114,"Institute of Mathematics, Chinese Academy of Sciences and Chinese Mathematical Society, co-published with Springer",English,1,35,12,NA,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2017,118
1439-8516,Acta Mathematica Sinica English Series,"Acta Mathematica Sinica, English Series",PE OF,10114,"Institute of Mathematics, Chinese Academy of Sciences and Chinese Mathematical Society, co-published with Springer",English,1,35,12,NA,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2018,81
0251-4184,Acta Mathematica Vietnamica,Acta Mathematica Vietnamica,PE,40306,Springer,English,1,44,4,Hybrid (Open Choice),"Distribution rights for print version outside Vietnam, for electronic version worldwide.",Springer,ISSN print,2015,59
0251-4184,Acta Mathematica Vietnamica,Acta Mathematica Vietnamica,PE,40306,Springer,English,1,44,4,Hybrid (Open Choice),"Distribution rights for print version outside Vietnam, for electronic version worldwide.",Springer,ISSN print,2018,49
0251-4184,Acta Mathematica Vietnamica,Acta Mathematica Vietnamica,PE,40306,Springer,English,1,44,4,Hybrid (Open Choice),"Distribution rights for print version outside Vietnam, for electronic version worldwide.",Springer,ISSN print,2017,45
0251-4184,Acta Mathematica Vietnamica,Acta Mathematica Vietnamica,PE,40306,Springer,English,1,44,4,Hybrid (Open Choice),"Distribution rights for print version outside Vietnam, for electronic version worldwide.",Springer,ISSN print,2016,38
0168-9673,Acta Mathematicae Applicatae Sinica English Series,"Acta Mathematicae Applicatae Sinica, English Series",PE OF,10255,"Institute of Applied Mathematics, Chinese Academy of Sciences and Chinese Mathematical Society, co-publsihed with Springer",English,1,35,4,NA,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2015,94
0168-9673,Acta Mathematicae Applicatae Sinica English Series,"Acta Mathematicae Applicatae Sinica, English Series",PE OF,10255,"Institute of Applied Mathematics, Chinese Academy of Sciences and Chinese Mathematical Society, co-publsihed with Springer",English,1,35,4,NA,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2017,92
0168-9673,Acta Mathematicae Applicatae Sinica English Series,"Acta Mathematicae Applicatae Sinica, English Series",PE OF,10255,"Institute of Applied Mathematics, Chinese Academy of Sciences and Chinese Mathematical Society, co-publsihed with Springer",English,1,35,4,NA,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2016,92
0168-9673,Acta Mathematicae Applicatae Sinica English Series,"Acta Mathematicae Applicatae Sinica, English Series",PE OF,10255,"Institute of Applied Mathematics, Chinese Academy of Sciences and Chinese Mathematical Society, co-publsihed with Springer",English,1,35,4,NA,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2018,51
0001-5970,Acta Mechanica,Acta Mechanica,PE OF,707,Springer,English,1,230,12,Hybrid (Open Choice),NA,Springer,ISSN print,2017,302
0001-5970,Acta Mechanica,Acta Mechanica,PE OF,707,Springer,English,1,230,12,Hybrid (Open Choice),NA,Springer,ISSN print,2016,239
0001-5970,Acta Mechanica,Acta Mechanica,PE OF,707,Springer,English,1,230,12,Hybrid (Open Choice),NA,Springer,ISSN print,2015,232
0001-5970,Acta Mechanica,Acta Mechanica,PE OF,707,Springer,English,1,230,12,Hybrid (Open Choice),NA,Springer,ISSN print,2018,174
0567-7718,Acta Mechanica Sinica,Acta Mechanica Sinica,PE OF,10409,"The Chinese Society of Theoretical and Applied Mechanics; Institute of Mechanics, Chinese Academy of Sciences, co-published with Springer",English,1,35,6,Hybrid (Open Choice),"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2015,137
0567-7718,Acta Mechanica Sinica,Acta Mechanica Sinica,PE OF,10409,"The Chinese Society of Theoretical and Applied Mechanics; Institute of Mechanics, Chinese Academy of Sciences, co-published with Springer",English,1,35,6,Hybrid (Open Choice),"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2017,114
0567-7718,Acta Mechanica Sinica,Acta Mechanica Sinica,PE OF,10409,"The Chinese Society of Theoretical and Applied Mechanics; Institute of Mechanics, Chinese Academy of Sciences, co-published with Springer",English,1,35,6,Hybrid (Open Choice),"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2016,79
0567-7718,Acta Mechanica Sinica,Acta Mechanica Sinica,PE OF,10409,"The Chinese Society of Theoretical and Applied Mechanics; Institute of Mechanics, Chinese Academy of Sciences, co-published with Springer",English,1,35,6,Hybrid (Open Choice),"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2018,61
0894-9166,Acta Mechanica Solida Sinica,Acta Mechanica Solida Sinica,PE OF,10338,Springer,English,1,32,6,Hybrid (Open Choice),Take-over in 2018. Former publisher: Elsevier. Chinese Library of Science.,Springer,ISSN print,2017,67
0894-9166,Acta Mechanica Solida Sinica,Acta Mechanica Solida Sinica,PE OF,10338,Springer,English,1,32,6,Hybrid (Open Choice),Take-over in 2018. Former publisher: Elsevier. Chinese Library of Science.,Springer,ISSN print,2015,65
0894-9166,Acta Mechanica Solida Sinica,Acta Mechanica Solida Sinica,PE OF,10338,Springer,English,1,32,6,Hybrid (Open Choice),Take-over in 2018. Former publisher: Elsevier. Chinese Library of Science.,Springer,ISSN print,2018,61
0894-9166,Acta Mechanica Solida Sinica,Acta Mechanica Solida Sinica,PE OF,10338,Springer,English,1,32,6,Hybrid (Open Choice),Take-over in 2018. Former publisher: Elsevier. Chinese Library of Science.,Springer,ISSN print,2016,56
1006-7191,Acta Metallurgica Sinica English Letters,Acta Metallurgica Sinica (English Letters),PE OF,40195,"The Chinese Society for Metals, co-published with Springer",English,1,32,12,NA,"Chinese Library of Science. <table><tr><td>Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide </td></tr></table>.",other,ISSN print,2017,170
1006-7191,Acta Metallurgica Sinica English Letters,Acta Metallurgica Sinica (English Letters),PE OF,40195,"The Chinese Society for Metals, co-published with Springer",English,1,32,12,NA,"Chinese Library of Science. <table><tr><td>Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide </td></tr></table>.",other,ISSN print,2016,167
1006-7191,Acta Metallurgica Sinica English Letters,Acta Metallurgica Sinica (English Letters),PE OF,40195,"The Chinese Society for Metals, co-published with Springer",English,1,32,12,NA,"Chinese Library of Science. <table><tr><td>Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide </td></tr></table>.",other,ISSN print,2015,165
1006-7191,Acta Metallurgica Sinica English Letters,Acta Metallurgica Sinica (English Letters),PE OF,40195,"The Chinese Society for Metals, co-published with Springer",English,1,32,12,NA,"Chinese Library of Science. <table><tr><td>Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide </td></tr></table>.",other,ISSN print,2018,124
0001-6268,Acta Neurochirurgica,Acta Neurochirurgica,PE OF S,701,Springer,English,1,161,12,Hybrid (Open Choice),NA,Springer,ISSN print,2017,385
0001-6268,Acta Neurochirurgica,Acta Neurochirurgica,PE OF S,701,Springer,English,1,161,12,Hybrid (Open Choice),NA,Springer,ISSN print,2016,379
0001-6268,Acta Neurochirurgica,Acta Neurochirurgica,PE OF S,701,Springer,English,1,161,12,Hybrid (Open Choice),NA,Springer,ISSN print,2015,355
0001-6268,Acta Neurochirurgica,Acta Neurochirurgica,PE OF S,701,Springer,English,1,161,12,Hybrid (Open Choice),NA,Springer,ISSN print,2018,239
0001-6322,Acta Neuropathologica,Acta Neuropathologica,PE OF S,401,Springer,English,2,137-138,6,Hybrid (Open Choice),NA,Springer,ISSN print,2015,142
0001-6322,Acta Neuropathologica,Acta Neuropathologica,PE OF S,401,Springer,English,2,137-138,6,Hybrid (Open Choice),NA,Springer,ISSN print,2016,134
0001-6322,Acta Neuropathologica,Acta Neuropathologica,PE OF S,401,Springer,English,2,137-138,6,Hybrid (Open Choice),NA,Springer,ISSN print,2017,133
0001-6322,Acta Neuropathologica,Acta Neuropathologica,PE OF S,401,Springer,English,2,137-138,6,Hybrid (Open Choice),NA,Springer,ISSN print,2018,112
0253-505X,Acta Oceanologica Sinica,Acta Oceanologica Sinica,PE OF,13131,"The Chinese Society of Oceanography, co-published with Springer",English,1,38,12,NA,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2016,190
0253-505X,Acta Oceanologica Sinica,Acta Oceanologica Sinica,PE OF,13131,"The Chinese Society of Oceanography, co-published with Springer",English,1,38,12,NA,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2015,186
0253-505X,Acta Oceanologica Sinica,Acta Oceanologica Sinica,PE OF,13131,"The Chinese Society of Oceanography, co-published with Springer",English,1,38,12,NA,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2017,163
0253-505X,Acta Oceanologica Sinica,Acta Oceanologica Sinica,PE OF,13131,"The Chinese Society of Oceanography, co-published with Springer",English,1,38,12,NA,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide.",other,ISSN print,2018,121
1230-2821,Acta Parasitologica,Acta Parasitologica,PE OF,11686,Springer,English,1,64,4,Hybrid (Open Choice),Take-over in 2019. Former publisher: de Gruyter.,Springer,ISSN print,2016,119
1230-2821,Acta Parasitologica,Acta Parasitologica,PE OF,11686,Springer,English,1,64,4,Hybrid (Open Choice),Take-over in 2019. Former publisher: de Gruyter.,Springer,ISSN print,2017,107
1230-2821,Acta Parasitologica,Acta Parasitologica,PE OF,11686,Springer,English,1,64,4,Hybrid (Open Choice),Take-over in 2019. Former publisher: de Gruyter.,Springer,ISSN print,2015,87
1230-2821,Acta Parasitologica,Acta Parasitologica,PE OF,11686,Springer,English,1,64,4,Hybrid (Open Choice),Take-over in 2019. Former publisher: de Gruyter.,Springer,ISSN print,2018,77
1671-4083,Acta Pharmacologica Sinica,Acta Pharmacologica Sinica,PE,41401,Springer Nature,English,1,40,12,Hybrid (Open Choice),Online version only available through an institutional license.,Springer Nature,ISSN print,2017,202
1671-4083,Acta Pharmacologica Sinica,Acta Pharmacologica Sinica,PE,41401,Springer Nature,English,1,40,12,Hybrid (Open Choice),Online version only available through an institutional license.,Springer Nature,ISSN print,2018,186
1671-4083,Acta Pharmacologica Sinica,Acta Pharmacologica Sinica,PE,41401,Springer Nature,English,1,40,12,Hybrid (Open Choice),Online version only available through an institutional license.,Springer Nature,ISSN print,2016,175
1671-4083,Acta Pharmacologica Sinica,Acta Pharmacologica Sinica,PE,41401,Springer Nature,English,1,40,12,Hybrid (Open Choice),Online version only available through an institutional license.,Springer Nature,ISSN print,2015,153
0001-6810,Acta Politica,Acta Politica,PE OF,41269,Palgrave Macmillan,English,1,54,4,Hybrid (Open Choice),Online version only available through an institutional license.,Palgrave Macmillan,ISSN print,2017,48
0001-6810,Acta Politica,Acta Politica,PE OF,41269,Palgrave Macmillan,English,1,54,4,Hybrid (Open Choice),Online version only available through an institutional license.,Palgrave Macmillan,ISSN print,2018,42
0001-6810,Acta Politica,Acta Politica,PE OF,41269,Palgrave Macmillan,English,1,54,4,Hybrid (Open Choice),Online version only available through an institutional license.,Palgrave Macmillan,ISSN print,2016,29
0001-6810,Acta Politica,Acta Politica,PE OF,41269,Palgrave Macmillan,English,1,54,4,Hybrid (Open Choice),Online version only available through an institutional license.,Palgrave Macmillan,ISSN print,2015,26
2510-2788,Activitas Nervosa Superior,Activitas Nervosa Superior,PE,41470,Springer,English,1,61,4,Hybrid (Open Choice),NA,Springer,ISSN print,2015,14
2510-2788,Activitas Nervosa Superior,Activitas Nervosa Superior,PE,41470,Springer,English,1,61,4,Hybrid (Open Choice),NA,Springer,ISSN print,2017,13
2510-2788,Activitas Nervosa Superior,Activitas Nervosa Superior,PE,41470,Springer,English,1,61,4,Hybrid (Open Choice),NA,Springer,ISSN print,2016,10
2510-2788,Activitas Nervosa Superior,Activitas Nervosa Superior,PE,41470,Springer,English,1,61,4,Hybrid (Open Choice),NA,Springer,ISSN print,2018,9
1619-1919,adhäsion KLEBEN DICHTEN,adhäsion KLEBEN & DICHTEN,PE,35145,Springer Vieweg,German,1,63,12,NA,"Electronic version available on springerprofessional.de and link.springer.com. E-only subscription not available, SpringerLink licensing permitted outside the DACH countries.",other,ISSN print,2017,99
1619-1919,adhäsion KLEBEN DICHTEN,adhäsion KLEBEN & DICHTEN,PE,35145,Springer Vieweg,German,1,63,12,NA,"Electronic version available on springerprofessional.de and link.springer.com. E-only subscription not available, SpringerLink licensing permitted outside the DACH countries.",other,ISSN print,2015,82
1619-1919,adhäsion KLEBEN DICHTEN,adhäsion KLEBEN & DICHTEN,PE,35145,Springer Vieweg,German,1,63,12,NA,"Electronic version available on springerprofessional.de and link.springer.com. E-only subscription not available, SpringerLink licensing permitted outside the DACH countries.",other,ISSN print,2018,64
1619-1919,adhäsion KLEBEN DICHTEN,adhäsion KLEBEN & DICHTEN,PE,35145,Springer Vieweg,German,1,63,12,NA,"Electronic version available on springerprofessional.de and link.springer.com. E-only subscription not available, SpringerLink licensing permitted outside the DACH countries.",other,ISSN print,2016,18
1866-6116,ADHD Attention Deficit Hyperactivity Disorders,ADHD Attention Deficit and Hyperactivity Disorders,PE OF S,12402,Springer,English,1,11,4,Hybrid (Open Choice),NA,Springer,ISSN print,2017,33
1866-6116,ADHD Attention Deficit Hyperactivity Disorders,ADHD Attention Deficit and Hyperactivity Disorders,PE OF S,12402,Springer,English,1,11,4,Hybrid (Open Choice),NA,Springer,ISSN print,2016,26
1866-6116,ADHD Attention Deficit Hyperactivity Disorders,ADHD Attention Deficit and Hyperactivity Disorders,PE OF S,12402,Springer,English,1,11,4,Hybrid (Open Choice),NA,Springer,ISSN print,2015,25
1866-6116,ADHD Attention Deficit Hyperactivity Disorders,ADHD Attention Deficit and Hyperactivity Disorders,PE OF S,12402,Springer,English,1,11,4,Hybrid (Open Choice),NA,Springer,ISSN print,2018,18
2192-2624,adhesion ADHESIVES SEALANTS,adhesion ADHESIVES + SEALANTS,PE,35784,Springer Vieweg,English,1,16,4,NA,"Electronic version available on springerprofessional.de and link.springer.com. E-only subscription not available, SpringerLink licensing permitted outside the DACH countries.",other,ISSN print,2017,24
2192-2624,adhesion ADHESIVES SEALANTS,adhesion ADHESIVES + SEALANTS,PE,35784,Springer Vieweg,English,1,16,4,NA,"Electronic version available on springerprofessional.de and link.springer.com. E-only subscription not available, SpringerLink licensing permitted outside the DACH countries.",other,ISSN print,2015,17
2192-2624,adhesion ADHESIVES SEALANTS,adhesion ADHESIVES + SEALANTS,PE,35784,Springer Vieweg,English,1,16,4,NA,"Electronic version available on springerprofessional.de and link.springer.com. E-only subscription not available, SpringerLink licensing permitted outside the DACH countries.",other,ISSN print,2018,14
2192-2624,adhesion ADHESIVES SEALANTS,adhesion ADHESIVES + SEALANTS,PE,35784,Springer Vieweg,English,1,16,4,NA,"Electronic version available on springerprofessional.de and link.springer.com. E-only subscription not available, SpringerLink licensing permitted outside the DACH countries.",other,ISSN print,2016,8
0894-587X,Administration Policy Mental Health Mental Health Services Research,Administration and Policy in Mental Health and Mental Health Services Research,PE OF,10488,Springer,English,1,46,6,Hybrid (Open Choice),NA,Springer,ISSN print,2015,90
